Fighter,Division,division_ranking,Birth_Date,Career_Record,Sig_Strikes_Thrown,Sig_Strikes_Landed,Sig_Strikes_Absorbed,Takedowns_Attempted,Takedowns_Successful,Takedowns_Defended,Sub_Attempts,Sub_Attempts_Defended,Knockdowns,Knockdowns_Received,Control_Time_Seconds,Time_Controlled_Seconds,height_inches,reach_inches,win,loss,draws,win_kotko,win_sub,win_decision,loss_kotko,loss_sub,loss_decision,Fight_Duration_Seconds,significant_strikes_attempted_against,takedowns_attempted_against,takedowns_allowed,submission_attempts_against,Number_of_Fights_36m,Dates_36m,picture_url,ufcstats_url
Josiah Harrell (The Muscle Hamster),Welterweight,,13-11-1998,11-1-0,14,7,33,2,0,0,0,0,0,0,1,21,67,68,0,1,0,0,0,0,1,0,0,181,47,2,2,0,1,21-02-2026:85497ffd934ecf7e:L,img/josiah_harrell_the_muscle_hamster.png,http://ufcstats.com/fighter-details/e5864a42c80294f6
Regina Tarin (Kill Bill),Catch Weight,,19-10-2004,8-0-0,239,114,105,3,1,1,0,0,0,0,62,77,67,66,1,0,0,0,0,1,0,0,0,900,249,2,1,0,1,28-02-2026:e4faa79383c9f214:W,img/regina_tarin_kill_bill.png,http://ufcstats.com/fighter-details/9f5609dba6584ab2
Joanna Jedrzejczyk,Catch Weight,,18-08-1987,16-5-0,0,0,0,0,0,0,0,0,0,0,0,0,66,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/3d6749c4267da18f
Alex Oliveira (Cowboy),Catch Weight,,21-02-1988,22-12-1 (2 NC),0,0,0,0,0,0,0,0,0,0,0,0,71,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/57b10fca4f9c9a7a
Jose Quinonez (Teco),Catch Weight,,28-07-1990,9-5-0,0,0,0,0,0,0,0,0,0,0,0,0,68,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/36549928f90f1d36
Deron Winn,Catch Weight,,13-06-1989,7-3-0,0,0,0,0,0,0,0,0,0,0,0,0,66,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/483a953b18d73bb3
Demian Maia,Catch Weight,,06-11-1977,28-11-0,0,0,0,0,0,0,0,0,0,0,0,0,73,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/427b5953ac8e3a27
Francisco Trinaldo (Massaranduba),Catch Weight,,24-08-1978,28-9-0,0,0,0,0,0,0,0,0,0,0,0,0,69,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/a8283a4f415e1eb9
Jussier Formiga,Catch Weight,,14-04-1985,23-8-0,0,0,0,0,0,0,0,0,0,0,0,0,65,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/b102c26727306ab6
Randa Markos (Quiet Storm),Catch Weight,,10-08-1985,11-12-1,0,0,0,0,0,0,0,0,0,0,0,0,64,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/4a57ebb14315b251
Bea Malecki,Catch Weight,,23-08-1991,4-1-0,0,0,0,0,0,0,0,0,0,0,0,0,69,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/b60c980f79b87ce8
Dominick Cruz (The Dominator),Catch Weight,,09-03-1985,24-4-0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/10f3ba6cd2f44a97
Francis Ngannou (The Predator),Catch Weight,,05-09-1986,17-3-0,0,0,0,0,0,0,0,0,0,0,0,0,76,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/8d03ce87ca14e778
Greg Hardy (Prince of War),Catch Weight,,28-07-1988,7-5-0 (1 NC),0,0,0,0,0,0,0,0,0,0,0,0,77,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/85073dbd1be65ed9
Yorgan De Castro (The Mad Titan),Catch Weight,,19-12-1986,6-3-0,0,0,0,0,0,0,0,0,0,0,0,0,72,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/1eff7bc0f815b270
Anthony Pettis (Showtime),Catch Weight,,27-01-1987,24-10-0,0,0,0,0,0,0,0,0,0,0,0,0,70,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/cbb682f5fcc44bfc
Donald Cerrone (Cowboy),Catch Weight,,29-03-1983,36-17-0 (2 NC),0,0,0,0,0,0,0,0,0,0,0,0,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/1d00756835ca67c9
Aleksei Oleinik (The Boa Constrictor),Catch Weight,,20-06-1977,60-17-1,0,0,0,0,0,0,0,0,0,0,0,0,74,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/98c23cb6da5b3352
Fabricio Werdum (Vai Cavalo),Catch Weight,,30-07-1977,24-9-1,0,0,0,0,0,0,0,0,0,0,0,0,76,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/492b202d2064e7a9
Charles Rosa (Boston Strong),Catch Weight,,24-08-1986,14-8-0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/40093d1d2d78394e
Sam Alvey (Smile'N),Catch Weight,,06-05-1986,33-18-1 (1 NC),0,0,0,0,0,0,0,0,0,0,0,0,74,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/d156513a19acf856
Glover Teixeira,Catch Weight,,28-10-1979,33-9-0,0,0,0,0,0,0,0,0,0,0,0,0,74,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/7ff97850e8c32bda
Ben Rothwell,Catch Weight,,17-10-1981,39-14-0,0,0,0,0,0,0,0,0,0,0,0,0,76,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/bd58d34e39b7b12a
Ray Borg (The Tazmexican Devil),Catch Weight,,04-08-1993,13-5-0,0,0,0,0,0,0,0,0,0,0,0,0,64,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/a4de54ea806fb525
Sijara Eubanks (SarJ),Catch Weight,,27-04-1985,8-7-0,0,0,0,0,0,0,0,0,0,0,0,0,64,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/4234f0097c83fa62
Sarah Moras (Cheesecake),Catch Weight,,30-04-1988,6-8-0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/539ed332b3078821
Hunter Azure,Catch Weight,,02-03-1992,9-2-0,0,0,0,0,0,0,0,0,0,0,0,0,68,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/2af2f2e26c4c0402
Ike Villanueva (Hurricane),Catch Weight,,04-04-1984,18-14-0,0,0,0,0,0,0,0,0,0,0,0,0,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/f9d0cae37dabfafc
Alistair Overeem (The Demolition Man),Catch Weight,,17-05-1980,47-19-0 (1 NC),0,0,0,0,0,0,0,0,0,0,0,0,76,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/b4ad3a06ee4d660c
Walt Harris (The Big Ticket),Catch Weight,,10-06-1983,13-10-0 (1 NC),0,0,0,0,0,0,0,0,0,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/03f982ca3735070c
Claudia Gadelha (Claudinha),Catch Weight,,07-12-1988,18-5-0,0,0,0,0,0,0,0,0,0,0,0,0,64,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/ec34349e7dffcde7
Krzysztof Jotko,Catch Weight,,19-08-1989,24-6-0,0,0,0,0,0,0,0,0,0,0,0,0,73,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/4e06913c91da5200
Irwin Rivera (The Beast),Catch Weight,,14-02-1989,10-6-0,0,0,0,0,0,0,0,0,0,0,0,0,66,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/06a80a685ea98573
Cortney Casey (Cast Iron),Catch Weight,,05-05-1987,10-10-0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/5f179af5fffeb9f6
Mara Romero Borella,Catch Weight,,03-06-1986,12-9-0 (2 NC),0,0,0,0,0,0,0,0,0,0,0,0,66,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/82cbb809d5ee565c
Tyron Woodley (The Chosen One),Catch Weight,,07-04-1982,19-7-1,0,0,0,0,0,0,0,0,0,0,0,0,69,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/effd9de9937996f8
Augusto Sakai,Catch Weight,,09-05-1991,16-5-1,0,0,0,0,0,0,0,0,0,0,0,0,75,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/441eacbe20e0e80b
Spike Carlyle (Alpha Ginger),Catch Weight,,06-05-1993,9-3-0,0,0,0,0,0,0,0,0,0,0,0,0,68,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/be68b375707dcb85
Brok Weaver (Chata Tuska),Catch Weight,,05-12-1991,15-6-0,0,0,0,0,0,0,0,0,0,0,0,0,72,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/7c9f96f9a6a5cd50
Hannah Cifers (Shockwave),Catch Weight,,26-06-1992,10-7-0,0,0,0,0,0,0,0,0,0,0,0,0,61,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/2244d9a2b64b8c3b
Antonina Shevchenko (La Pantera),Catch Weight,,20-11-1984,10-4-0,0,0,0,0,0,0,0,0,0,0,0,0,68,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/d7338bcb141abd2c
Klidson Abreu (White Bear),Catch Weight,,24-12-1992,15-4-0 (1 NC),0,0,0,0,0,0,0,0,0,0,0,0,72,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/7279654c7674cd24
Casey Kenney,Catch Weight,,20-03-1991,16-4-1,0,0,0,0,0,0,0,0,0,0,0,0,67,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/e7bba7ce4d6c7b07
Louis Smolka (Da Last Samurai),Catch Weight,,16-07-1991,17-9-0,0,0,0,0,0,0,0,0,0,0,0,0,69,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/d2bc285ead803db0
Felicia Spencer (FeeNom),Catch Weight,,29-11-1990,9-3-0,0,0,0,0,0,0,0,0,0,0,0,0,66,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/39d91e95949de3d9
Anthony Rocco Martin,Catch Weight,,11-12-1989,17-6-0,0,0,0,0,0,0,0,0,0,0,0,0,72,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/5331b25a60417ffb
Eddie Wineland,Catch Weight,,26-06-1984,24-16-1,0,0,0,0,0,0,0,0,0,0,0,0,67,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/fc9a9559a05f2704
Ian Heinisch (The Hurricane),Catch Weight,,05-08-1988,14-5-0,0,0,0,0,0,0,0,0,0,0,0,0,71,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/2e585c701f72fe55
Maki Pitolo (Coconut Bombz),Catch Weight,,24-11-1990,13-9-0,0,0,0,0,0,0,0,0,0,0,0,0,70,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/c549573c0df4d676
Charles Byrd (Kid Dynamite),Catch Weight,,11-10-1983,10-7-0,0,0,0,0,0,0,0,0,0,0,0,0,70,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/76ee3d666c648f6b
Evan Dunham,Catch Weight,,18-12-1981,18-9-1,0,0,0,0,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/e5c9de15bb58b1c6
Jessica Eye (Evil),Catch Weight,,27-07-1986,15-11-0 (1 NC),0,0,0,0,0,0,0,0,0,0,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/f72465a784c1b084
Karl Roberson (Baby K),Catch Weight,,04-10-1990,9-6-0,0,0,0,0,0,0,0,0,0,0,0,0,73,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/37d5b176d438d2a5
Kevin Aguilar (Angel of Death),Catch Weight,,07-09-1988,17-5-0,0,0,0,0,0,0,0,0,0,0,0,0,67,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/cf946e03ba2e7666
Jordan Espinosa (The Gamer),Catch Weight,,08-11-1989,15-9-0 (1 NC),0,0,0,0,0,0,0,0,0,0,0,0,66,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/215a70f073a7b726
Mark De La Rosa (Bumblebee),Catch Weight,,31-08-1994,11-5-0,0,0,0,0,0,0,0,0,0,0,0,0,66,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/f57dd0bfa8c17813
Gustavo Lopez,Catch Weight,,27-06-1989,12-6-1,0,0,0,0,0,0,0,0,0,0,0,0,65,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/93b62c5f2ba18e51
Gina Mazany (Danger),Catch Weight,,19-08-1988,7-6-0,0,0,0,0,0,0,0,0,0,0,0,0,66,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/016a8d958883167c
Zarrukh Adashev (The Lion),Catch Weight,,29-07-1992,4-4-0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
Christian Aguilera (The Beast),Catch Weight,,25-11-1991,14-8-0,0,0,0,0,0,0,0,0,0,0,0,0,69,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/ae071698e1a3ccd4
Anthony Ivy (Aquaman),Catch Weight,,23-01-1990,8-4-0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/3c5005b66696d790
Shane Burgos (Hurricane),Catch Weight,,19-03-1991,15-3-0,0,0,0,0,0,0,0,0,0,0,0,0,71,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/98d961097baaf308
Marion Reneau (The Belizean Bruiser),Catch Weight,,20-06-1977,9-8-1,0,0,0,0,0,0,0,0,0,0,0,0,66,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/c7d297714d9ab1a4
Lyman Good (Cyborg),Catch Weight,,26-05-1985,21-6-0 (1 NC),0,0,0,0,0,0,0,0,0,0,0,0,72,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/4e0692ad070976e4
Brianna Fortino (The Bull),Catch Weight,,04-08-1993,9-3-0,0,0,0,0,0,0,0,0,0,0,0,0,60,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/b53c46f613f6f248
Oskar Piechota (Imadlo),Catch Weight,,24-01-1990,11-3-1 (1 NC),0,0,0,0,0,0,0,0,0,0,0,0,72,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/1cf7ccf64a5bf24e
Justin Jaynes (The Guitar Hero),Catch Weight,,10-08-1989,16-8-0,0,0,0,0,0,0,0,0,0,0,0,0,67,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/304a21d0595e1a08
Frank Camacho (The Crank),Catch Weight,,18-05-1989,22-10-0,0,0,0,0,0,0,0,0,0,0,0,0,70,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/764342d39cdaa54a
Roxanne Modafferi (The Happy Warrior),Catch Weight,,24-09-1982,25-21-0,0,0,0,0,0,0,0,0,0,0,0,0,67,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/4498b382c65a7faa
Max Rohskopf (Rated R),Catch Weight,,27-09-1994,5-1-0,0,0,0,0,0,0,0,0,0,0,0,0,73,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/59a27d2e6d0802ac
Mike Perry (Platinum),Catch Weight,,15-09-1991,14-8-0,0,0,0,0,0,0,0,0,0,0,0,0,70,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/f2b6fdb20675b11c
Maurice Greene (The Crochet Boss),Catch Weight,,05-07-1986,9-7-0,0,0,0,0,0,0,0,0,0,0,0,0,79,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/068f8a189a47fea6
Gian Villante,Catch Weight,,18-08-1985,17-14-0,0,0,0,0,0,0,0,0,0,0,0,0,75,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/fcd448a2fe1a23cc
Jason Witt (The Vanilla Gorilla),Catch Weight,,07-11-1986,19-9-0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/5f3805dda9661cba
Khama Worthy (The Death Star),Catch Weight,,15-10-1986,16-9-0,0,0,0,0,0,0,0,0,0,0,0,0,71,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/78e501478a36a018
Luis Pena (Violent Bob Ross),Catch Weight,,05-07-1993,9-3-0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/2844b047183a1adb
Kay Hansen,Catch Weight,,14-08-1999,7-6-0,0,0,0,0,0,0,0,0,0,0,0,0,62,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/4100c7a09497ad41
Jordan Griffin (Native Psycho),Catch Weight,,28-02-1990,18-9-0,0,0,0,0,0,0,0,0,0,0,0,0,70,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/ebef46976554f975
Paige VanZant (12 Gauge),Catch Weight,,26-03-1994,8-5-0,0,0,0,0,0,0,0,0,0,0,0,0,64,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/4d5197f331c47290
Danny Henry (The Hatchet),Catch Weight,,17-07-1988,12-4-0,0,0,0,0,0,0,0,0,0,0,0,0,72,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/f7d73e452b064bf2
Leonardo Santos,Catch Weight,,05-02-1980,18-7-1,0,0,0,0,0,0,0,0,0,0,0,0,72,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/9c65736747ca92ec
Roman Bogatov,Catch Weight,,15-12-1990,10-1-0,0,0,0,0,0,0,0,0,0,0,0,0,68,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/d61316139d68dbe3
Raulian Paiva,Catch Weight,,17-10-1995,21-5-0,0,0,0,0,0,0,0,0,0,0,0,0,68,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/82b4e942781b1046
Vanessa Melo,Catch Weight,,27-03-1988,11-8-0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/9b7dfb3b7d99926a
Martin Day (The Spartan),Catch Weight,,10-11-1988,8-6-0,0,0,0,0,0,0,0,0,0,0,0,0,70,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/ea3dcc417c322064
Ryan Benoit (Baby Face),Catch Weight,,25-08-1989,10-8-0,0,0,0,0,0,0,0,0,0,0,0,0,65,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/20999e27ddd94bda
Jimmie Rivera (El Terror),Catch Weight,,29-06-1989,23-5-0,0,0,0,0,0,0,0,0,0,0,0,0,64,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/9c907996820d2d69
Mounir Lazzez (The Sniper),Catch Weight,,16-11-1987,11-3-0,0,0,0,0,0,0,0,0,0,0,0,0,73,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/49ee5024966efc0d
John Phillips (The Welsh Wrecking Machine),Catch Weight,,09-06-1985,22-11-0 (1 NC),0,0,0,0,0,0,0,0,0,0,0,0,71,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/e9ac7bfb65c25497
Andreas Michailidis (The Spartan),Catch Weight,,18-07-1988,13-6-0,0,0,0,0,0,0,0,0,0,0,0,0,72,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/79325a3c1a5c3bf4
Chris Fishgold,Catch Weight,,06-06-1992,18-4-1,0,0,0,0,0,0,0,0,0,0,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/bebb4ae55ac2bf6f
Liana Jojua (She Wolf),Catch Weight,,22-03-1995,8-5-0,0,0,0,0,0,0,0,0,0,0,0,0,64,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/eebc23626e38f5dc
Joseph Benavidez,Catch Weight,,31-07-1984,28-8-0,0,0,0,0,0,0,0,0,0,0,0,0,64,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/80eacd4da0617c57
Askar Askarov (Bullet),Catch Weight,,09-10-1992,14-1-1,0,0,0,0,0,0,0,0,0,0,0,0,66,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/b1d19449397541dc
Khadis Ibragimov,Catch Weight,,21-05-1995,8-4-0,0,0,0,0,0,0,0,0,0,0,0,0,75,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/c3218c810959d279
Nad Narimani (Smiler),Catch Weight,,14-04-1987,12-4-0,0,0,0,0,0,0,0,0,0,0,0,0,68,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/776a58a67665a171
Joe Duffy (Irish),Catch Weight,,18-02-1988,16-5-0,0,0,0,0,0,0,0,0,0,0,0,0,70,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/654ae722109a0d31
Brett Johns (The Pikey),Catch Weight,,21-02-1992,17-2-0,0,0,0,0,0,0,0,0,0,0,0,0,67,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/ec52462a1b41f714
Davi Ramos (Tasmanian Devil),Catch Weight,,05-11-1986,10-4-0,0,0,0,0,0,0,0,0,0,0,0,0,66,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/0052de90691d4a93
Carlos Felipe (Boi),Catch Weight,,12-01-1995,11-2-0,0,0,0,0,0,0,0,0,0,0,0,0,72,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/a2ea77e974c5889f
Darren Till (The Gorilla),Catch Weight,,24-12-1992,18-5-1,0,0,0,0,0,0,0,0,0,0,0,0,72,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/9ce6d5a03af801b7
Mauricio Rua (Shogun),Catch Weight,,25-11-1981,27-14-1,0,0,0,0,0,0,0,0,0,0,0,0,73,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/140745cbbcb023ac
Rogerio Nogueira (Minotouro),Catch Weight,,02-06-1976,23-10-0,0,0,0,0,0,0,0,0,0,0,0,0,74,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/73e09f837f3b5ecc
Alexander Gustafsson (The Mauler),Catch Weight,,15-01-1987,18-8-0,0,0,0,0,0,0,0,0,0,0,0,0,77,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/3c6976f8182d9527
Gadzhimurad Antigulov,Catch Weight,,09-02-1987,20-8-0,0,0,0,0,0,0,0,0,0,0,0,0,71,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/af997f7611673880
Peter Sobotta,Catch Weight,,11-01-1987,17-7-1,0,0,0,0,0,0,0,0,0,0,0,0,72,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/1fcfc3709fe58151
Jesse Ronson (The Body Snatcher),Catch Weight,,24-12-1985,21-12-0 (1 NC),0,0,0,0,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/5580771f383e141f
Mike Grundy,Catch Weight,,03-01-1987,12-4-0,0,0,0,0,0,0,0,0,0,0,0,0,67,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/56fcb2c4d99f9d1b
Raphael Pessoa (Bebezao),Catch Weight,,09-03-1989,10-2-0,0,0,0,0,0,0,0,0,0,0,0,0,75,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/41f90012b86a11bf
Bethe Correia (Pitbull),Catch Weight,,22-06-1983,11-6-1,0,0,0,0,0,0,0,0,0,0,0,0,65,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://ufcstats.com/fighter-details/673ea7dcc786b1b3
